Time (hr)   Temp (deg. C)   Power (kW)
---------   -------------   ----------
0           111.8373        0.2       
1.0108      112.7434        0.2       
2.1901      111.0607        0.2       
2.9355      114.0908        0.2       
3.8276      112.3621        0.2       
4.8799      113.1994        0.2       
6.2319      110.4605        0.2       
6.8526      115.518         0.3037    
7.8494      112.7989        0.3037    
8.9292      115.3695        0.4186    
9.8027      113.6922        0.4186    
10.8823     116.3441        0.4186    
12.1232     116.9818        0.5355    
12.9748     125.3217        1.2164    
13.9282     124.1114        1.2164    
14.8881     124.9911        1.2164    
16.2205     130.884         1.6117    
17.2572     128.231         1.6117    
17.9712     131.1694        1.6117    
19.0481     128.2021        1.6117    
20.0315     131.0977        1.6117    
21.1721     118.5028        0.7737    
22.0471     118.1513        0.7737    
23.0206     120.5349        0.7737    
23.947      112.5884        0.2       
24.9994     110.7375        0.2       
26.2674     111.2553        0.2       
27.1952     114.1481        0.2       
27.8634     113.0919        0.2       
29.2931     110.4976        0.2       
29.8145     115.5605        0.4472    
30.9954     113.2997        0.3628    
31.8026     115.9804        0.3628    
32.9147     113.2395        0.3183    
34.2596     115.7173        0.3183    
35.0031     119.5168        0.9047    
36.0846     119.8772        0.9047    
37.2379     122.5862        0.9517    
38.0191     123.9036        1.1152    
39.2707     125.3408        1.1152    
40.2465     127.1241        1.4719    
41.2838     124.5668        1.1531    
42.0765     118.9045        0.8562    
43.1021     115.2931        0.562     
44.0149     118.089         0.6033    
44.9355     118.7319        0.6033    
46.1944     112.8349        0.2       
46.9863     114.1705        0.2       
47.9789     114.2296        0.2       
49.206      111.5058        0.2       
50.1367     113.2116        0.2       
51.1412     110.6675        0.2       
52.2712     111.6562        0.2       
52.9736     113.5945        0.2       
53.9941     111.31          0.2       
55.0869     111.5492        0.2       
55.9395     112.0947        0.2       
57.0983     111.7469        0.2       
57.8265     112.1213        0.2       
58.822      112.5929        0.2       
60.1553     110.7487        0.2       
61.0935     110.4091        0.2       
61.8369     127.6472        1.4931    
62.8528     121.62          0.889     
64.2095     128.888         1.4488    
64.9574     125.9886        1.2484    
66.1566     123.426         1.2075    
67.0985     113.9601        0.3582    
67.9309     117.3902        0.5686    
69.2072     113.275         0.4172    
69.8925     113.7491        0.2487    
71.2708     111.2923        0.2289    
71.9041     112.5198        0.2289    
