Time (hr)   Temp (deg. C)   Power (kW)
---------   -------------   ----------
0           112.4866        0.2       
1.2496      110.5016        0.2       
2.2975      113.5539        0.2       
3.2133      112.2974        0.2       
4.2335      110.9509        0.2       
4.9676      114.2201        0.2       
6.2333      113.0502        0.2       
7.1969      114.3587        0.2       
8.0383      112.0307        0.2       
8.948       117.1074        0.6321    
9.9866      119.0643        0.6321    
10.8403     119.0293        0.6321    
11.8456     127.7588        1.4205    
13.0834     124.8276        1.3331    
14.2949     127.8413        1.435     
15.0172     125.5749        1.435     
15.876      128.0661        1.551     
17.2275     118.4305        0.8367    
18.1245     119.5168        0.8367    
19.0036     121.788         0.8367    
19.8949     112.3023        0.3401    
20.9159     115.7381        0.479     
22.1439     114.1115        0.479     
23.1941     115.111         0.479     
24.0739     116.8471        0.479     
24.9014     116.8532        0.479     
26.146      110.8961        0.2       
26.9665     112.5472        0.2       
28.0658     112.9907        0.2       
29.257      113.6936        0.2       
30.1375     113.0749        0.2       
30.9622     113.3039        0.2       
31.8638     114.0615        0.2       
32.9924     112.8183        0.2       
34.1327     110.4902        0.2       
35.0167     120.8859        0.7417    
35.9791     127.5453        1.3441    
37.1476     125.6635        1.3441    
38.0573     121.3806        1.0988    
39.2538     127.9992        1.6381    
39.9569     118.9209        0.8647    
40.9115     128.6568        1.4599    
42.257      125.6416        1.4599    
43.1285     115.9206        0.3398    
43.8639     124.2613        1.0421    
44.8981     121.2537        1.0421    
45.9159     111.2175        0.2       
46.8061     113.6603        0.2       
48.2128     113.7753        0.2       
49.0915     114.0746        0.2       
49.9372     110.6176        0.2       
51.2132     112.6887        0.2       
52.1363     112.4361        0.2       
53.2718     113.2024        0.2       
54.0639     111.7395        0.2       
55.086      115.7845        0.6053    
56.1874     115.843         0.6053    
57.1935     118.0489        0.6053    
58.2206     116.9528        0.6053    
58.9993     115.461         0.5767    
60.1718     116.8351        0.5767    
61.0842     128.9762        1.4688    
62.161      128.1796        1.4688    
63.1529     129.2854        1.4688    
64.0833     118.0013        0.7782    
65.2578     126.5418        1.4008    
66.1449     117.0926        0.5488    
67.2434     118.7601        0.8725    
68.139      121.0528        0.8725    
69.0941     121.6012        0.8725    
70.2723     119.7732        0.8725    
71.0995     120.5458        0.8725    
71.9926     118.9249        0.8725    
