Delta Time (hr),Power (kW)
0,0.2
1.1255,0.2
0.9101,0.2
0.8522,0.2
1.4056,0.2
0.5861,0.2
1.3414,0.4909
1.0381,0.4909
0.965,0.4909
0.6451,0.4909
1.3806,0.4909
1.0108,0.732
0.8592,0.6814
0.838,0.6814
0.9608,0.6814
1.0275,0.6814
1.2552,0.6814
0.6129,1.5009
1.1127,0.5416
1.3492,0.4239
0.9979,1.0741
0.9563,1.0741
0.8648,1.0741
1.1056,1.0741
0.8366,1.0741
1.1665,1.0741
0.9046,1.0741
0.7158,0.2
1.4717,0.2
0.5695,0.2
0.9985,0.2
1.3277,0.2
0.8922,0.8308
0.9253,0.8439
0.8994,0.8439
1.035,0.6907
0.9806,0.6907
0.9275,0.6907
1.3354,0.6907
1.0441,1.4909
0.6471,1.3423
1.1925,1.3423
0.8572,0.981
1.0023,0.981
1.2563,0.981
0.8877,0.981
1.0418,0.981
0.6994,0.6649
1.1247,0.3579
0.939,0.3579
1.2108,0.3579
1.0431,0.3579
1.0147,0.3579
0.8833,0.3579
0.9201,0.3579
1.141,0.2
0.7668,0.6433
1.0807,0.6761
1.3215,0.6761
0.7292,0.6761
1.2638,1.1632
0.5554,1.1632
1.2867,0.6399
0.9706,0.7535
1.0296,0.7535
0.7171,1.0465
1.3866,0.8418
0.7406,0.9509
0.9811,0.9509
0.9478,0.4933
0.9423,0.4933
1.1991,0.3245
0.8677,0.3245
1.0947,0.2
1.177,0.2
0.9647,0.2
1.1155,0.2
0.6067,0.2
1.2379,0.2
1.1231,0.2479
0.6308,0.2479
1.0415,0.2479
1.313,0.6861
0.833,1.2243
1.0732,1.1595
1.0786,1.4399
0.9497,1.4399
1.0827,1.4939
0.6911,0.8194
1.2145,0.6697
0.9355,0.8444
0.8499,0.7724
0.9985,0.7724
0.9704,0.7681
1.3451,0.2
0.8529,0.4033
0.7841,0.4033
1.1194,0.2376
1.1782,0.2376
1.037,0.2
0.9167,0.2
0.8366,0.2
0.9832,0.2
1.2858,0.2
0.6995,0.2
0.9861,0.6581
1.2087,1.0706
0.8044,1.0706
1.1184,1.0706
1.1589,1.0706
0.8689,1.0706
1.0213,1.0598
1.0079,1.0598
0.8879,1.0598
1.1284,1.0598
1.0767,1.1983
0.775,1.1983
1.054,1.1983
0.9248,1.1983
0.9361,0.6119
0.9448,0.6119
